"Time","Fluke 8508A {name=""DUT Temperature""}","resistance {Keithley 2182a=""Reversible Resistance Bridge"", _field=""Keithley 2182a"", _start=""2025-01-19 08:37:26.31 +0000 UTC"", _stop=""2025-01-27 03:41:58.989 +0000 UTC""}"
2025-01-19 09:38:44,,10000.1598371
2025-01-19 09:41:04,,10000.1598724
2025-01-19 09:43:24,,10000.1599532
2025-01-19 09:45:44,,10000.1599923
2025-01-19 09:48:04,,10000.1599082
2025-01-19 09:50:24,,10000.1598435
2025-01-19 09:52:44,,10000.1599725
2025-01-19 09:55:05,,10000.1598269
2025-01-19 09:57:31,,10000.1600921
2025-01-19 09:59:51,,10000.1598795
2025-01-19 10:02:11,,10000.1598612
2025-01-19 10:04:32,,10000.1600262
2025-01-19 10:06:52,,10000.1599569
2025-01-19 10:09:12,,10000.1598250
2025-01-19 10:11:32,,10000.1598128
2025-01-19 10:13:53,,10000.1599305
2025-01-19 10:16:13,,10000.1598976
2025-01-19 10:18:59,26.5899000,
2025-01-19 10:18:59,,10000.1599619
2025-01-19 10:22:19,,10000.1599814
2025-01-19 10:24:39,,10000.1598564
2025-01-19 10:26:59,,10000.1599985
2025-01-19 10:29:19,,10000.1599330
2025-01-19 10:31:40,,10000.1600770
2025-01-19 10:34:00,,10000.1598958
2025-01-19 10:36:20,,10000.1598467
2025-01-19 10:38:40,,10000.1599239
2025-01-19 10:41:00,,10000.1598711
2025-01-19 10:43:20,,10000.1598808
2025-01-19 10:45:40,,10000.1598786
2025-01-19 10:48:00,,10000.1599880
2025-01-19 10:50:20,,10000.1599135
2025-01-19 10:52:41,,10000.1599049
2025-01-19 10:55:01,,10000.1599591
2025-01-19 10:57:21,,10000.1599955
2025-01-19 10:59:42,,10000.1599782
2025-01-19 11:02:02,,10000.1600621
2025-01-19 11:04:22,,10000.1598772
2025-01-19 11:07:09,26.5067100,
2025-01-19 11:07:09,,10000.1599029
2025-01-19 11:10:29,,10000.1599455
2025-01-19 11:12:52,,10000.1600121
2025-01-19 11:15:13,,10000.1599756
2025-01-19 11:17:33,,10000.1598039
2025-01-19 11:19:55,,10000.1598353
2025-01-19 11:22:15,,10000.1598770
2025-01-19 11:24:37,,10000.1599934
2025-01-19 11:27:00,,10000.1598379
2025-01-19 11:29:21,,10000.1599400
2025-01-19 11:31:43,,10000.1599088
2025-01-19 11:34:04,,10000.1598374
2025-01-19 11:36:24,,10000.1598473
2025-01-19 11:38:45,,10000.1599021
